modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,374,797,46.92597239648683,44,240,18.333333333333332,0.2539015606242497,1.0,1.0,False,IGF2BP2,K562
pseudoU,9,797,1.1292346298619824,2,240,0.8333333333333334,0.7357609710550888,0.7631769080873938,1.0,False,IGF2BP2,K562
m5C,20,797,2.5094102885821834,4,240,1.6666666666666667,0.6584745762711864,0.8433581652000355,1.0,False,IGF2BP2,K562
ac4C,2,797,0.2509410288582183,0,240,0.0,0.0,1.0,1.0,False,IGF2BP2,K562
