modification,observed,expected,fold,pvalue,qvalue
ac4C,0.0,1.0801,0.4807,0.3871,0.3871
m6A,60.0,119.8886,0.5046,0.0001,0.0004
m5C,7.0,11.6531,0.6323,0.236,0.3871
pseudoU,2.0,1.2947,1.3074,0.3753,0.3871
,,,,,
