track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	ac4C	0	1.0907	0.0000	3.0000	1.1462	0.4783	-1.0640	3.8630e-01	3.8630e-01	224	11468	6.5166e+00	16	16	9.0919e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m6A	60	119.9432	102.0000	139.0000	11.1266	0.5044	-0.9874	1.0000e-04	4.0000e-04	224	11468	6.5166e+00	1808	1808	1.0274e+00	60	60	3.4095e-02	26.7857	0.5232	3.3186	3.3186
merged	m5C	7	11.5833	4.0000	22.0000	5.3564	0.6358	-0.6534	2.4020e-01	3.8630e-01	224	11468	6.5166e+00	168	168	9.5465e-02	7	7	3.9777e-03	3.1250	0.0610	4.1667	4.1667
merged	pseudoU	2	1.2880	0.0000	3.0000	1.0930	1.3112	0.3909	3.7460e-01	3.8630e-01	224	11468	6.5166e+00	22	22	1.2501e-02	2	2	1.1365e-03	0.8929	0.0174	9.0909	9.0909
# job finished in 54 seconds at Sat Feb 28 21:47:48 2026 -- 54.84  0.46  0.00  0.00 -- a65a7426-0ead-4602-89c5-9bb1b2678615
