modification,observed,expected,fold,pvalue,qvalue
m6A,2.0,4.5477,0.5408,0.2143,0.8572
m5C,0.0,0.5963,0.6264,0.6508,0.9862
ac4C,0.0,0.0402,0.9614,0.96,0.9862
pseudoU,0.0,0.0138,0.9864,0.9862,0.9862
,,,,,
