track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m6A	2	4.5919	1.0000	9.0000	2.5267	0.5365	-0.8984	2.1240e-01	8.4960e-01	105	5250	1.1991e+00	372	372	8.4962e-02	2	2	4.5678e-04	1.9048	0.0381	0.5376	0.5376
merged	m5C	0	0.5504	0.0000	2.0000	1.1179	0.6450	-0.6326	6.6300e-01	9.8640e-01	105	5250	1.1991e+00	48	48	1.0963e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	ac4C	0	0.0446	0.0000	0.0000	0.2084	0.9573	-0.0630	9.5580e-01	9.8640e-01	105	5250	1.1991e+00	2	2	4.5678e-04	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	pseudoU	0	0.0136	0.0000	0.0000	0.1158	0.9866	-0.0195	9.8640e-01	9.8640e-01	105	5250	1.1991e+00	1	1	2.2839e-04	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
# job finished in 33 seconds at Sat Feb 28 21:47:06 2026 -- 34.95  0.62  0.00  0.00 -- 66e2a2a3-39b4-43b3-a964-9fe0e2a7d3e5
