modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,156,5387,2.8958604046779284,2,105,1.9047619047619049,0.6511077918844909,0.8110889853372308,1.0,False,EWSR1,K562
pseudoU,1,5387,0.018563207722294413,0,105,0.0,0.0,1.0,1.0,False,EWSR1,K562
m5C,13,5387,0.24132170038982736,0,105,0.0,0.0,1.0,1.0,False,EWSR1,K562
ac4C,1,5387,0.018563207722294413,0,105,0.0,0.0,1.0,1.0,False,EWSR1,K562
