2026-02-16 04:30:59.566703	https://www.encodeproject.org/report/?type=File&file_format=bed&assay_title=eCLIP&biosample_ontology.term_name=K562&biosample_ontology.term_name=HepG2&target.label=HNRNPC&target.label=IGF2BP1&target.label=IGF2BP2&target.label=TIA1&target.label=HNRNPK&target.label=PCBP2&target.label=RBFOX2&target.label=TARDBP&target.label=QKI&target.label=SRSF1&target.label=SRSF9&target.label=RBM22&target.label=TRA2A&target.label=HNRNPL&target.label=LIN28B&target.label=FUS&target.label=MATR3&target.label=HNRNPA1&target.label=HNRNPM&target.label=NONO&target.label=U2AF2&target.label=EWSR1&target.label=PTBP1&limit=all
ID	Title	Accession	Dataset	Genome assembly	Technical replicates	Biological replicates	File Format	File type	File format type	File size	Assay term name	Biosample name	Organ	Simple biosample summary	Batch	Target label	Download URL	Derived from	Genome annotation	Library	Paired end identifier	Paired with	Preferred Default	Run type	Read length	Mapped read length (nt)	Cropped read length (nt)	Cropped read length tolerance (nt)	Mapped run type for bam files	Read length units	Output category	Output type	Index of	QC Metric	Lab	Project	Analysis step run	Date created	Analysis step version	Restricted file	Submitter comment	Status	Annotation type	Annotation subtype	Biochemical activity	Encyclopedia version
/files/ENCFF130PWU/	ENCFF130PWU	ENCFF130PWU	/experiments/ENCSR384KAN/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	1820623	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS575NGC/	PTBP1	/files/ENCFF130PWU/@@download/ENCFF130PWU.bed.gz	/files/ENCFF386UIG/,/files/ENCFF895BNM/		ENCLB875HIL											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T20:34:00.339181+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF604WJZ/	ENCFF604WJZ	ENCFF604WJZ	/experiments/ENCSR769UEW/	hg19	1_1	1	bed	bed narrowPeak	narrowPeak	5493192	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS990SBY/	HNRNPA1	/files/ENCFF604WJZ/@@download/ENCFF604WJZ.bed.gz	/files/ENCFF963VIU/,/files/ENCFF205PBQ/		ENCLB919ECK			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:14:25.729759+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF401YRZ/	ENCFF401YRZ	ENCFF401YRZ	/experiments/ENCSR795CAI/	GRCh38	1_1	1	bed	bed narrowPeak	narrowPeak	3436900	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS517UIR/	HNRNPL	/files/ENCFF401YRZ/@@download/ENCFF401YRZ.bed.gz	/files/ENCFF775AIE/,/files/ENCFF209EIX/		ENCLB460IOL			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T20:29:32.727266+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF994PFX/	ENCFF994PFX	ENCFF994PFX	/experiments/ENCSR756CKJ/	hg19	2_1	2	bed	bed narrowPeak	narrowPeak	2349359	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS505ILK/	RBFOX2	/files/ENCFF994PFX/@@download/ENCFF994PFX.bed.gz	/files/ENCFF249RTF/,/files/ENCFF045FUV/		ENCLB554XAY											annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:44:59.038085+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF171PTV/	ENCFF171PTV	ENCFF171PTV	/experiments/ENCSR290VLT/	GRCh38	2_1	2	bed	bed narrowPeak	narrowPeak	1817122	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS575NGC/	MATR3	/files/ENCFF171PTV/@@download/ENCFF171PTV.bed.gz	/files/ENCFF601NWD/,/files/ENCFF794ILP/		ENCLB984MLU			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T20:33:50.851299+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF650LMV/	ENCFF650LMV	ENCFF650LMV	/experiments/ENCSR975KIR/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	131721	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS301EZU/,/biosamples/ENCBS476AUA/	IGF2BP1	/files/ENCFF650LMV/@@download/ENCFF650LMV.bed.gz	/files/ENCFF853FGC/,/files/ENCFF269URO/,/files/ENCFF449VXW/,/files/ENCFF544NQL/,/files/ENCFF982JPX/,/files/ENCFF185IDD/													annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/2fe8593d-f972-4708-aed8-a9f122fa0bfa/	2018-12-03T15:13:39.157962+00:00	/analysis-step-versions/eclip-merge-peaks-step-v-1-0/			released				
/files/ENCFF341XMP/	ENCFF341XMP	ENCFF341XMP	/experiments/ENCSR861GYE/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	88646	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS308ZPA/,/biosamples/ENCBS362ASG/	LIN28B	/files/ENCFF341XMP/@@download/ENCFF341XMP.bed.gz	/files/ENCFF909VPB/,/files/ENCFF756VXR/,/files/ENCFF269URO/,/files/ENCFF244QMW/,/files/ENCFF284RSI/,/files/ENCFF246BGL/													annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/2fe8593d-f972-4708-aed8-a9f122fa0bfa/	2018-12-03T15:17:41.932781+00:00	/analysis-step-versions/eclip-merge-peaks-step-v-1-0/			released				
/files/ENCFF454FEB/	ENCFF454FEB	ENCFF454FEB	/experiments/ENCSR893RAV/	hg19	2_1	2	bed	bed narrowPeak	narrowPeak	2645881	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS666SJB/	U2AF2	/files/ENCFF454FEB/@@download/ENCFF454FEB.bed.gz	/files/ENCFF783DTX/,/files/ENCFF097VMD/		ENCLB959MMV			True								annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/82238836-cea9-4cf0-a206-c383310b79f8/	2016-11-30T18:12:06.867656+00:00	/analysis-step-versions/eclip-normalization-step-v-1-0/			released				
/files/ENCFF524ZZB/	ENCFF524ZZB	ENCFF524ZZB	/experiments/ENCSR062NNB/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	91038	eCLIP	K562	bodily fluid,blood		/biosamples/ENCBS283QAE/,/biosamples/ENCBS978JIM/	IGF2BP2	/files/ENCFF524ZZB/@@download/ENCFF524ZZB.bed.gz	/files/ENCFF589JKO/,/files/ENCFF904VAH/,/files/ENCFF082VUD/,/files/ENCFF988HSD/,/files/ENCFF269URO/,/files/ENCFF819GBX/													annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/2fe8593d-f972-4708-aed8-a9f122fa0bfa/	2018-12-03T15:13:53.158285+00:00	/analysis-step-versions/eclip-merge-peaks-step-v-1-0/			released				
/files/ENCFF759KCD/	ENCFF759KCD	ENCFF759KCD	/experiments/ENCSR623VEQ/	GRCh38	1_1,2_1	1,2	bed	bed narrowPeak	narrowPeak	41378	eCLIP	HepG2	endocrine gland,exocrine gland,liver,epithelium		/biosamples/ENCBS547JWV/,/biosamples/ENCBS537ADD/	TIA1	/files/ENCFF759KCD/@@download/ENCFF759KCD.bed.gz	/files/ENCFF856EHA/,/files/ENCFF269QNL/,/files/ENCFF269URO/,/files/ENCFF378HWC/,/files/ENCFF681JJG/,/files/ENCFF258DPQ/													annotation	peaks			Gene Yeo, UCSD	ENCODE	/analysis-step-runs/2fe8593d-f972-4708-aed8-a9f122fa0bfa/	2018-12-03T15:13:29.158489+00:00	/analysis-step-versions/eclip-merge-peaks-step-v-1-0/			released				
