2026-02-16 23:10:26.025261	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&assay_term_name=RNA+Bind-n-Seq&status=released&files.file_type=tsv&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR051WAN/	ENCSR051WAN	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/PABPC3-human/	PABPC3	PABPC3		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against PABPC3	Chris Burge, MIT	ENCODE	released	/files/ENCFF225UDG/,/files/ENCFF836ATV/,/files/ENCFF033GJN/,/files/ENCFF823FZD/,/files/ENCFF089UZQ/,/files/ENCFF661OOB/,/files/ENCFF902CGC/,/files/ENCFF173TII/			1	3,1,2																/replicates/907426b9-57df-48e2-a772-deee99d7ff03/,/replicates/babce4ac-c125-4202-b9e2-51a2b6171057/,/replicates/396b8e65-e892-4521-ae29-dfb141822fd5/				
/experiments/ENCSR890PDQ/	ENCSR890PDQ	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/HNRNPA2B1-human/	HNRNPA2B1	HNRNPA2B1		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against HNRNPA2B1	Chris Burge, MIT	ENCODE	released	/files/ENCFF633PYG/,/files/ENCFF272CDH/,/files/ENCFF284NLC/,/files/ENCFF871IQB/,/files/ENCFF486QQA/,/files/ENCFF174STT/,/files/ENCFF733IIC/,/files/ENCFF638JTR/,/files/ENCFF632KXS/,/files/ENCFF704ABD/,/files/ENCFF408PHK/,/files/ENCFF999DDY/,/files/ENCFF126ADB/			1	3,2,4,5,1																/replicates/b1b08a04-ca11-40e1-9ab2-0f09755c0584/,/replicates/a82ea55d-2aec-4d12-9bed-b64a4270b547/,/replicates/90d35aeb-add7-4e85-aeb8-49a0d333d84b/,/replicates/d394e6c8-5677-4265-856f-7496d049ac15/,/replicates/f8820f92-9009-45fe-bea9-02b829220323/				
/experiments/ENCSR915BDY/	ENCSR915BDY	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/KHSRP-human/	KHSRP	KHSRP		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against KHSRP	Chris Burge, MIT	ENCODE	released	/files/ENCFF464UVC/,/files/ENCFF712ZAK/,/files/ENCFF385FOT/,/files/ENCFF778ABV/,/files/ENCFF608BCN/,/files/ENCFF487JGC/,/files/ENCFF641RTT/,/files/ENCFF356DWW/,/files/ENCFF924TSO/,/files/ENCFF757NUT/,/files/ENCFF865YVO/,/files/ENCFF931GAS/,/files/ENCFF739ZKH/,/files/ENCFF402TCU/,/files/ENCFF708KEI/			1	4,1,2,3,5																/replicates/db00a34c-8055-4eb9-a20a-32bea4fbaa86/,/replicates/a39668b5-49b5-4aed-83f8-c6f3f194980d/,/replicates/93119152-3d9e-4d06-9fa0-b586f1c9030b/,/replicates/993fab12-1e28-48d2-a7cc-f982de774c9c/,/replicates/d08b636d-9590-4fb0-bb88-60771e2fb498/				
/experiments/ENCSR773QCC/	ENCSR773QCC	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/PUF60-human/	PUF60	PUF60		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against PUF60	Chris Burge, MIT	ENCODE	released	/files/ENCFF092OVI/,/files/ENCFF071TXE/,/files/ENCFF838ARR/,/files/ENCFF748VRH/,/files/ENCFF631TWR/,/files/ENCFF582QKC/,/files/ENCFF262OPY/,/files/ENCFF608KZB/,/files/ENCFF146LBG/,/files/ENCFF619SGN/,/files/ENCFF180NZG/			1	2,5,1,3,4																/replicates/54ffaa29-c6e1-48cf-8271-d632ea1f9e04/,/replicates/6b39867e-89f4-4472-b90b-6c1ef5136853/,/replicates/916314e2-715e-4956-849c-fd2719be8329/,/replicates/fff7c145-0aed-4ca5-b824-bbd007753717/,/replicates/80b671ff-3125-4199-aed7-4d5eb8b5c4ea/				
/experiments/ENCSR005ZRL/	ENCSR005ZRL	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/DAZAP1-human/	DAZAP1	DAZAP1		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against DAZAP1	Chris Burge, MIT	ENCODE	released	/files/ENCFF756ZGX/,/files/ENCFF102BFN/,/files/ENCFF159FNQ/,/files/ENCFF738COE/,/files/ENCFF548LGA/,/files/ENCFF766DOA/,/files/ENCFF887GOK/,/files/ENCFF387GNF/,/files/ENCFF190ZRO/,/files/ENCFF156RLV/,/files/ENCFF668HCA/,/files/ENCFF884UAX/,/files/ENCFF867JXH/			1	1,3,2,5,4																/replicates/4e4493e7-5ac5-42c3-a74e-6221d7dee782/,/replicates/8b51ef98-c70e-49fc-a6a0-aa9c00a841de/,/replicates/b3812651-88b9-42da-9cb9-5ae9b0a07ea8/,/replicates/8b256d7a-975f-4496-9467-5a7c44aefef6/,/replicates/9fb414f8-3a5e-445d-8b2c-1241d1992523/				
/experiments/ENCSR199MJK/	ENCSR199MJK	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/RBM11-human/	RBM11	RBM11		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against RBM11	Chris Burge, MIT	ENCODE	released	/files/ENCFF999PNF/,/files/ENCFF767VHJ/,/files/ENCFF604IEH/,/files/ENCFF388BGA/,/files/ENCFF416XQG/,/files/ENCFF371MAZ/,/files/ENCFF027LSJ/,/files/ENCFF455EZQ/,/files/ENCFF681AZG/			1	3,1,2																/replicates/40125f0b-5378-443f-a7ea-601d00313403/,/replicates/9f63343b-727f-4c51-97e6-77a1c0f76d07/,/replicates/1f94f5b9-bb70-470c-9d49-e53b9ebaf553/				
/experiments/ENCSR929OLV/	ENCSR929OLV	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/SRSF8-human/	SRSF8	SRSF8		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against SRSF8	Chris Burge, MIT	ENCODE	released	/files/ENCFF746BQQ/,/files/ENCFF046HXG/,/files/ENCFF172SZM/,/files/ENCFF625PWF/,/files/ENCFF455VOQ/,/files/ENCFF260OIA/,/files/ENCFF894LGH/,/files/ENCFF156GSI/,/files/ENCFF860CDY/,/files/ENCFF504GWV/,/files/ENCFF588RIK/			1	2,1,5,4,3																/replicates/41941087-9555-4089-aee2-87dc7939d45d/,/replicates/29b2f6bf-ffbc-4a6d-956f-8e62ef7000cb/,/replicates/5336b0b4-35ee-4bc9-8c4d-15bd43462d60/,/replicates/e7725ed3-c67b-4385-80a6-2c2912b37a94/,/replicates/3972e18a-e2d6-44c7-b3f1-4350a18aa292/				
/experiments/ENCSR275JFN/	ENCSR275JFN	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/SRSF2-human/	SRSF2	SRSF2		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against SRSF2	Chris Burge, MIT	ENCODE	released	/files/ENCFF443RLZ/,/files/ENCFF203RCX/,/files/ENCFF044HZO/,/files/ENCFF427KXG/,/files/ENCFF257EQJ/,/files/ENCFF289NBX/,/files/ENCFF395BSA/,/files/ENCFF900EPD/,/files/ENCFF573MYB/,/files/ENCFF395YYT/,/files/ENCFF616GTT/			1	2,3,1,5,4																/replicates/dfcf8c02-aedc-4dea-87b2-777d9c02783c/,/replicates/98929ae6-ae97-4499-9c52-f06e33748b4c/,/replicates/dc869faa-cf28-4239-8be5-ff3ea05d33ae/,/replicates/52efc4ab-323b-4761-8541-8639fff6f070/,/replicates/e9f3c2e8-7f96-4b92-98ac-c712f9944fe6/				
/experiments/ENCSR954TYO/	ENCSR954TYO	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/HNRNPL-human/	HNRNPL	HNRNPL		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against HNRNPL	Chris Burge, MIT	ENCODE	released	/files/ENCFF117QKP/,/files/ENCFF134FRX/,/files/ENCFF004ECZ/,/files/ENCFF066AFW/,/files/ENCFF262PXW/,/files/ENCFF407TKA/,/files/ENCFF044BEP/,/files/ENCFF035BST/,/files/ENCFF929YDP/,/files/ENCFF640IUJ/,/files/ENCFF086FCD/,/files/ENCFF422OAC/,/files/ENCFF029EII/,/files/ENCFF941VVI/,/files/ENCFF410KFS/			1	1,3,2,5,4																/replicates/ad610b4c-97bb-496a-9f4a-23b2cda5eabf/,/replicates/6af632d8-a212-4477-b8b0-d57ed4574abf/,/replicates/ace6feda-b531-4838-b15c-984a5261c59f/,/replicates/1dff6df1-ee65-434e-8f38-d40e1672a1ff/,/replicates/a51acc5b-f6cf-4dd6-aa74-b3a7974e36cd/				
/experiments/ENCSR082AKW/	ENCSR082AKW	RNA Bind-n-Seq	RNA Bind-n-Seq	cell-free sample	/targets/ESRP1-human/	ESRP1	ESRP1		cell-free sample		RNA Bind-n-Seq (RBNS) pulldown experiment against ESRP1	Chris Burge, MIT	ENCODE	released	/files/ENCFF249MKN/,/files/ENCFF866SSJ/,/files/ENCFF709NVS/,/files/ENCFF193SAI/,/files/ENCFF841SRB/,/files/ENCFF437RJK/,/files/ENCFF069CQR/,/files/ENCFF201IIS/,/files/ENCFF497OVV/,/files/ENCFF830CCN/,/files/ENCFF924ZUX/			1	1,3,4,2,5																/replicates/90c83ccd-0035-425d-9962-15b956ca36a8/,/replicates/fcbf0893-b7aa-4d52-b700-b9f3f1a8c73f/,/replicates/aa85e33d-e0ad-4da0-b76e-aaa421d8c9a6/,/replicates/5f2b12b9-41fd-4af1-8858-6ef90ea6f4eb/,/replicates/526b6f21-1051-4242-99ae-a5de0c0b9801/				
