track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m5C	4	33.4224	9.0000	68.0000	18.6427	0.1453	-2.7833	8.8000e-03	3.5200e-02	671	33964	8.1484e+00	357	357	8.5649e-02	4	4	9.5966e-04	0.5961	0.0118	1.1204	1.1204
merged	ac4C	0	0.8954	0.0000	3.0000	0.9144	0.5276	-0.9225	3.9740e-01	5.2987e-01	671	33964	8.1484e+00	12	12	2.8790e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m6A	41	49.7437	38.0000	63.0000	7.7446	0.8277	-0.2728	1.3950e-01	2.7900e-01	671	33964	8.1484e+00	617	617	1.4803e-01	41	41	9.8365e-03	6.1103	0.1207	6.6451	6.6451
merged	pseudoU	1	1.1250	0.0000	3.0000	1.0082	0.9412	-0.0875	6.8860e-01	6.8860e-01	671	33964	8.1484e+00	15	15	3.5987e-03	1	1	2.3991e-04	0.1490	0.0029	6.6667	6.6667
# job finished in 108 seconds at Sat Feb 28 21:49:35 2026 -- 109.07  0.44  0.00  0.00 -- ecc52ee6-dbf3-40e0-ab7e-cb9b5dd378cf
