modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,412,6979,5.903424559392463,34,690,4.9275362318840585,0.826123312810798,0.8722352581028511,1.0,False,PCBP2,HepG2
pseudoU,9,6979,0.1289583034818742,1,690,0.14492753623188406,1.1240122560877277,0.6106927987336871,1.0,False,PCBP2,HepG2
m5C,116,6979,1.6621292448774896,3,690,0.43478260869565216,0.2583571751242283,0.9989735900730908,1.0,False,PCBP2,HepG2
ac4C,12,6979,0.1719444046424989,0,690,0.0,0.0,1.0,1.0,False,PCBP2,HepG2
