modification,observed,expected,fold,pvalue,qvalue
m5C,4.0,33.6953,0.1441,0.0059,0.0236
ac4C,0.0,0.8852,0.5304,0.404,0.53867
m6A,41.0,49.7973,0.8268,0.1392,0.2784
pseudoU,1.0,1.1227,0.9422,0.6898,0.6898
,,,,,
