track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m6A	1	1.8312	0.0000	4.0000	1.2205	0.7064	-0.5014	4.3120e-01	5.7493e-01	12	620	5.4167e+00	30	30	2.6210e-01	1	1	8.7367e-03	8.3333	0.1613	3.3333	3.3333
merged	ac4C	0	0.2290	0.0000	1.0000	0.4641	0.8137	-0.2975	7.8980e-01	7.8980e-01	12	620	5.4167e+00	3	3	2.6210e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m5C	7	3.7738	0.0000	11.0000	3.7860	1.6758	0.7449	2.1990e-01	4.3980e-01	12	620	5.4167e+00	74	74	6.4651e-01	7	7	6.1157e-02	58.3333	1.1290	9.4595	9.4595
merged	pseudoU	7	1.4366	0.0000	6.0000	2.1370	3.2833	1.7151	3.0100e-02	1.2040e-01	12	620	5.4167e+00	23	23	2.0094e-01	7	7	6.1157e-02	58.3333	1.1290	30.4348	30.4348
# job finished in 13 seconds at Sat Feb 28 21:46:55 2026 -- 14.37  0.47  0.00  0.00 -- b7d9f306-869b-4757-9d2c-72e319fd4343
