modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,8,82,9.75609756097561,1,14,7.142857142857142,0.7115384615384616,0.7739743096263209,1.0,False,SRSF9,K562
pseudoU,0,82,0.0,2,14,14.285714285714285,inf,0.019956140350877193,0.07982456140350877,False,SRSF9,K562
m5C,8,82,9.75609756097561,1,14,7.142857142857142,0.7115384615384616,0.7739743096263209,1.0,False,SRSF9,K562
ac4C,2,82,2.4390243902439024,0,14,0.0,0.0,1.0,1.0,False,SRSF9,K562
