modification,observed,expected,fold,pvalue,qvalue
m6A,1.0,1.8284,0.7071,0.4326,0.5768
ac4C,0.0,0.2338,0.8105,0.7843,0.7843
m5C,7.0,3.8215,1.6592,0.227,0.454
pseudoU,7.0,1.3714,3.3735,0.0256,0.1024
,,,,,
