modification,observed,expected,fold,pvalue,qvalue
m5C,0.0,2.3173,0.3014,0.2599,0.5198
pseudoU,0.0,0.5155,0.6598,0.8414,1.0
ac4C,0.0,0.0,1.0,1.0,1.0
m6A,11.0,8.3852,1.2786,0.2394,0.5198
,,,,,
