modification,observed,expected,fold,pvalue,qvalue
pseudoU,0.0,0.135,0.8811,0.8714,0.9261
ac4C,0.0,0.0762,0.9292,0.9261,0.9261
m6A,16.0,10.0352,1.5405,0.0632,0.215
m5C,8.0,2.5363,2.545,0.1075,0.215
,,,,,
