track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m5C	0	2.7331	0.0000	9.0000	2.8614	0.2679	-1.9004	1.9920e-01	2.6560e-01	103	5171	6.7666e+00	35	35	4.5800e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m6A	26	70.2215	57.0000	84.0000	8.2979	0.3791	-1.3994	1.0000e-04	4.0000e-04	103	5171	6.7666e+00	1071	1071	1.4015e+00	26	26	3.4023e-02	25.2427	0.5028	2.4276	2.4276
merged	ac4C	0	1.1319	0.0000	3.0000	1.0012	0.4691	-1.0921	2.9910e-01	2.9910e-01	103	5171	6.7666e+00	15	15	1.9629e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	pseudoU	1	0.1581	0.0000	1.0000	0.3809	1.7270	0.7882	1.5210e-01	2.6560e-01	103	5171	6.7666e+00	2	2	2.6172e-03	1	1	1.3086e-03	0.9709	0.0193	50.0000	50.0000
# job finished in 36 seconds at Sat Feb 28 21:47:28 2026 -- 36.38  0.40  0.00  0.00 -- 4ed47860-e9a6-4ae7-9a05-e267e061fe95
