modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,761,1433,53.10537334263782,20,106,18.867924528301888,0.2053601442410537,0.9999999999995361,1.0,False,TRA2A,K562
pseudoU,1,1433,0.06978367062107467,1,106,0.9433962264150944,13.638095238095238,0.13304959649038312,0.5321983859615325,False,TRA2A,K562
m5C,19,1433,1.3258897418004187,0,106,0.0,0.0,1.0,1.0,False,TRA2A,K562
ac4C,13,1433,0.9071877180739707,0,106,0.0,0.0,1.0,1.0,False,TRA2A,K562
