modification,observed,expected,fold,pvalue,qvalue
m5C,0.0,2.6995,0.2703,0.203,0.27067
m6A,26.0,70.1187,0.3796,0.0001,0.0004
ac4C,0.0,1.1346,0.4685,0.302,0.302
pseudoU,1.0,0.1543,1.7327,0.1485,0.27067
,,,,,
