modification,n_total_peaks,n_mod_positive,n_mod_negative,pct_mod_positive,median_z_mod_pos,median_z_mod_neg,median_z_diff,direction,mann_whitney_u,mann_whitney_p,spearman_rho,spearman_p,z_bin_frequencies,mann_whitney_p_adj,significant,rbp,cell_line
m6A,1741,842,899,48.363,6.9993,5.6176,1.3817,enriched_at_high_Z,469448.5,1.9834763407255897e-19,0.2161,7.631862546494308e-20,{},7.933905362902359e-19,True,TRA2A,K562
pseudoU,1741,2,1739,0.115,4.1427,6.9993,-2.8567,enriched_at_low_Z,,,,,{},1.0,False,TRA2A,K562
m5C,1741,22,1719,1.264,6.9993,6.9993,0.0,no_difference,19367.0,0.8392758098857325,0.0049,0.8391700312527482,{},1.0,False,TRA2A,K562
ac4C,1741,16,1725,0.919,7.3191,6.9993,0.3198,enriched_at_high_Z,16062.5,0.24046141287174028,0.0281,0.24046707774590137,{},0.48092282574348055,False,TRA2A,K562
