track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	pseudoU	0	0.0387	0.0000	0.0000	0.1944	0.9627	-0.0548	9.6160e-01	1.0000e+00	155	7757	2.2894e+00	2	2	5.9028e-04	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	ac4C	0	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000e+00	1.0000e+00	155	7757	2.2894e+00	0	0	0.0000e+00	0	0	0.0000e+00	0.0000	0.0000	na	na
merged	m5C	1	0.4542	0.0000	2.0000	1.1715	1.3753	0.4598	2.8450e-01	5.6900e-01	155	7757	2.2894e+00	27	27	7.9688e-03	1	1	2.9514e-04	0.6452	0.0129	3.7037	3.7037
merged	m6A	12	7.1679	3.0000	13.0000	3.0142	1.5916	0.6705	8.4500e-02	3.3800e-01	155	7757	2.2894e+00	314	314	9.2674e-02	12	12	3.5417e-03	7.7419	0.1547	3.8217	3.8217
# job finished in 46 seconds at Sat Feb 28 21:47:34 2026 -- 46.41  0.47  0.00  0.00 -- 3a218c79-9bee-4cf9-aa8c-6694f256d418
