modification,observed,expected,fold,pvalue,qvalue
m5C,0.0,0.3074,0.7649,0.8782,1.0
ac4C,0.0,0.019,0.9814,0.9811,1.0
pseudoU,0.0,0.0,1.0,1.0,1.0
m6A,3.0,1.6008,1.538,0.232,0.928
,,,,,
