modification,n_total_peaks,n_mod_positive,n_mod_negative,pct_mod_positive,median_z_mod_pos,median_z_mod_neg,median_z_diff,direction,mann_whitney_u,mann_whitney_p,spearman_rho,spearman_p,z_bin_frequencies,mann_whitney_p_adj,significant,rbp,cell_line
m6A,4473,322,4151,7.199,2.4096,2.4421,-0.0325,enriched_at_low_Z,590486.0,0.00046443155986455436,-0.0523,0.00046124183072961654,"{""Q1"": 9.52, ""Q2"": 7.45, ""Q3"": 6.46, ""Q4"": 6.15, ""Q5"": 5.98}",0.0018577262394582174,True,FUS,K562
pseudoU,4473,5,4468,0.112,2.1758,2.4421,-0.2663,enriched_at_low_Z,5345.5,0.042738420830698585,-0.0303,0.04270776099690885,"{""Q1"": 0.29, ""Q2"": 0.26, ""Q3"": 0.0, ""Q4"": 0.0, ""Q5"": 0.0}",0.08547684166139717,False,FUS,K562
m5C,4473,26,4447,0.581,2.4133,2.4421,-0.0288,enriched_at_low_Z,52400.0,0.4079926075201694,-0.0124,0.4080099735841176,"{""Q1"": 0.87, ""Q2"": 0.39, ""Q3"": 0.39, ""Q4"": 0.82, ""Q5"": 0.3}",0.4079926075201694,False,FUS,K562
ac4C,4473,6,4467,0.134,2.2021,2.4421,-0.24,enriched_at_low_Z,7657.0,0.06809937817888169,-0.0273,0.06807031096898433,"{""Q1"": 0.29, ""Q2"": 0.13, ""Q3"": 0.1, ""Q4"": 0.1, ""Q5"": 0.0}",0.09079917090517559,False,FUS,K562
