track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m5C	0	0.3074	0.0000	1.0000	1.1933	0.7649	-0.3867	8.7820e-01	1.0000e+00	19	950	4.3427e-01	58	58	2.6513e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	ac4C	0	0.0190	0.0000	0.0000	0.1373	0.9814	-0.0272	9.8110e-01	1.0000e+00	19	950	4.3427e-01	6	6	2.7427e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	pseudoU	0	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000e+00	1.0000e+00	19	950	4.3427e-01	11	11	5.0283e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m6A	3	1.6008	0.0000	4.0000	1.4149	1.5380	0.6210	2.3200e-01	9.2800e-01	19	950	4.3427e-01	407	407	1.8605e-01	3	3	1.3714e-03	15.7895	0.3158	0.7371	0.7371
# job finished in 16 seconds at Sat Feb 28 21:46:48 2026 -- 17.35  0.49  0.00  0.00 -- 021d1b1d-44ef-46a1-8f3a-37fd8581e77d
