modification,observed,expected,fold,pvalue,qvalue
pseudoU,0.0,0.3982,0.7152,0.6431,0.7497
ac4C,0.0,0.2503,0.7998,0.7497,0.7497
m6A,116.0,73.7165,1.5659,0.0001,0.0002
m5C,26.0,8.1261,2.9585,0.0001,0.0002
,,,,,
