track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	pseudoU	0	0.4056	0.0000	1.0000	0.5689	0.7114	-0.4912	6.3570e-01	7.4850e-01	707	35920	2.0925e+01	2	2	1.1651e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	ac4C	0	0.2515	0.0000	1.0000	0.4339	0.7990	-0.3237	7.4850e-01	7.4850e-01	707	35920	2.0925e+01	1	1	5.8254e-04	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m6A	116	73.6084	60.0000	88.0000	8.6415	1.5682	0.6491	1.0000e-04	2.0000e-04	707	35920	2.0925e+01	331	331	1.9282e-01	116	116	6.7575e-02	16.4074	0.3229	35.0453	35.0453
merged	m5C	26	8.1918	2.0000	16.0000	4.3984	2.9374	1.5545	1.0000e-04	2.0000e-04	707	35920	2.0925e+01	40	40	2.3302e-02	26	26	1.5146e-02	3.6775	0.0724	65.0000	65.0000
# job finished in 124 seconds at Sat Feb 28 18:02:33 2026 -- 125.24  0.59  0.00  0.00 -- 6d833947-7116-4579-9a3f-1e13979777e1
