modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,67,1281,5.230288836846214,85,728,11.675824175824175,2.395255449037859,2.141273192169345e-07,8.56509276867738e-07,True,RBFOX2,K562
pseudoU,1,1281,0.078064012490242,0,728,0.0,0.0,1.0,1.0,False,RBFOX2,K562
m5C,5,1281,0.39032006245121,10,728,1.3736263736263736,3.554317548746518,0.01590742874122125,0.0318148574824425,True,RBFOX2,K562
ac4C,1,1281,0.078064012490242,0,728,0.0,0.0,1.0,1.0,False,RBFOX2,K562
