modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,34,271,12.546125461254611,101,592,17.06081081081081,1.4338684557325985,0.053826164389006795,0.10765232877801359,False,RBM22,K562
pseudoU,1,271,0.36900369003690037,17,592,2.871621621621622,7.982608695652174,0.009879182238359702,0.03951672895343881,True,RBM22,K562
m5C,1,271,0.36900369003690037,5,592,0.8445945945945946,2.299829642248722,0.3897042284760337,0.5196056379680449,False,RBM22,K562
ac4C,2,271,0.7380073800738007,0,592,0.0,0.0,1.0,1.0,False,RBM22,K562
