modification,observed,expected,fold,pvalue,qvalue
ac4C,0.0,1.172,0.4604,0.1662,0.203
m6A,113.0,98.836,1.1419,0.0166,0.0664
pseudoU,20.0,15.2619,1.2914,0.0739,0.1478
m5C,5.0,3.4752,1.3407,0.203,0.203
,,,,,
