track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	ac4C	0	1.1720	0.0000	2.0000	0.6891	0.4604	-1.1190	1.6620e-01	2.0300e-01	561	28613	5.9527e+01	2	2	4.1609e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	m6A	113	98.8360	88.0000	109.0000	6.3626	1.1419	0.1914	1.6600e-02	6.6400e-02	561	28613	5.9527e+01	165	165	3.4327e-01	113	113	2.3509e-01	20.1426	0.3949	68.4848	68.4848
merged	pseudoU	20	15.2619	10.0000	20.0000	2.9691	1.2914	0.3689	7.3900e-02	1.4780e-01	561	28613	5.9527e+01	25	25	5.2011e-02	20	20	4.1609e-02	3.5651	0.0699	80.0000	80.0000
merged	m5C	5	3.4752	1.0000	5.0000	1.2064	1.3407	0.4230	2.0300e-01	2.0300e-01	561	28613	5.9527e+01	6	6	1.2483e-02	5	5	1.0402e-02	0.8913	0.0175	83.3333	83.3333
# job finished in 136 seconds at Sat Feb 28 21:48:58 2026 -- 136.37  0.44  0.00  0.00 -- bfa98929-c72f-4ac5-9133-768cddab5d76
