track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m6A	8	13.1191	7.0000	21.0000	4.2292	0.6374	-0.6497	1.3820e-01	5.5280e-01	353	18129	6.5550e+00	237	237	8.5694e-02	8	8	2.8926e-03	2.2663	0.0441	3.3755	3.3755
merged	m5C	0	0.2255	0.0000	1.0000	0.4466	0.8160	-0.2934	7.8690e-01	1.0000e+00	353	18129	6.5550e+00	2	2	7.2315e-04	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	pseudoU	0	0.0572	0.0000	1.0000	0.2322	0.9459	-0.0802	9.4280e-01	1.0000e+00	353	18129	6.5550e+00	1	1	3.6158e-04	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	ac4C	0	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	1.0000e+00	1.0000e+00	353	18129	6.5550e+00	0	0	0.0000e+00	0	0	0.0000e+00	0.0000	0.0000	na	na
# job finished in 69 seconds at Sat Feb 28 21:48:02 2026 -- 69.95  0.42  0.00  0.00 -- f7258a31-3119-4e04-8eb0-86efbb6b1757
