modification,observed,expected,fold,pvalue,qvalue
m6A,8.0,13.0928,0.6386,0.1377,0.5508
m5C,0.0,0.2376,0.808,0.7732,1.0
pseudoU,0.0,0.0558,0.9471,0.9442,1.0
ac4C,0.0,0.0,1.0,1.0,1.0
,,,,,
