modification,n_total_peaks,n_mod_positive,n_mod_negative,pct_mod_positive,median_z_mod_pos,median_z_mod_neg,median_z_diff,direction,mann_whitney_u,mann_whitney_p,spearman_rho,spearman_p,z_bin_frequencies,mann_whitney_p_adj,significant,rbp,cell_line
m6A,5929,198,5731,3.34,4.3615,4.2535,0.108,enriched_at_high_Z,626997.5,0.009870851859669096,0.0335,0.009858850231004076,{},0.039483407438676385,True,HNRNPL,K562
pseudoU,5929,1,5928,0.017,1.7095,4.2535,-2.544,enriched_at_low_Z,,,,,{},1.0,False,HNRNPL,K562
m5C,5929,2,5927,0.034,3.5122,4.2535,-0.7413,enriched_at_low_Z,,,,,{},1.0,False,HNRNPL,K562
ac4C,5929,0,5929,0.0,,4.2535,,insufficient_data,,,,,{},1.0,False,HNRNPL,K562
