modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,1506,5211,28.90040299366724,37,380,9.736842105263158,0.26538162219924966,1.0,1.0,False,TIA1,K562
pseudoU,34,5211,0.6524659374400307,0,380,0.0,0.0,1.0,1.0,False,TIA1,K562
m5C,80,5211,1.535213970447131,4,380,1.0526315789473684,0.6823138297872341,0.8326629454792825,1.0,False,TIA1,K562
ac4C,12,5211,0.2302820955670697,0,380,0.0,0.0,1.0,1.0,False,TIA1,K562
