modification,observed,expected,fold,pvalue,qvalue
ac4C,0.0,1.0765,0.4816,0.2857,0.38093
m6A,110.0,194.1254,0.5689,0.0001,0.0004
pseudoU,2.0,2.5435,0.8466,0.5309,0.5309
m5C,28.0,21.2651,1.3025,0.2348,0.38093
,,,,,
