modification,canonical_overlap,canonical_total,canonical_pct,discrepant_overlap,discrepant_total,discrepant_pct,odds_ratio,pvalue,pvalue_adj,significant,rbp,cell_line
m6A,699,2424,28.836633663366335,668,2245,29.755011135857462,1.045337890981137,0.255614845869166,0.9977576605268882,False,LIN28B,K562
pseudoU,16,2424,0.6600660066006601,7,2245,0.311804008908686,0.47073279714030386,0.9734418600670685,0.9977576605268882,False,LIN28B,K562
m5C,84,2424,3.4653465346534658,48,2245,2.1380846325167036,0.6086221470836856,0.9977576605268882,0.9977576605268882,False,LIN28B,K562
ac4C,18,2424,0.7425742574257426,9,2245,0.40089086859688194,0.5380143112701252,0.9597338941067594,0.9977576605268882,False,LIN28B,K562
