modification,observed,expected,fold,pvalue,qvalue
pseudoU,6.0,11.6978,0.5513,0.0314,0.0628
m5C,61.0,75.6208,0.8092,0.0854,0.11387
ac4C,9.0,10.5227,0.8679,0.3474,0.3474
m6A,828.0,781.0269,1.0601,0.0235,0.0628
,,,,,
