modification,n_total_peaks,n_mod_positive,n_mod_negative,pct_mod_positive,median_z_mod_pos,median_z_mod_neg,median_z_diff,direction,mann_whitney_u,mann_whitney_p,spearman_rho,spearman_p,z_bin_frequencies,mann_whitney_p_adj,significant,rbp,cell_line
m6A,6916,2015,4901,29.135,2.3418,2.3418,0.0,no_difference,4900844.0,0.6245951742235112,-0.0059,0.62462505496844,"{""Q1"": 28.33, ""Q2"": 30.64, ""Q3"": 28.64, ""Q4"": 31.25, ""Q5"": 26.49}",0.6245951742235112,False,LIN28B,K562
pseudoU,6916,40,6876,0.578,2.7252,2.3418,0.3834,enriched_at_high_Z,164150.0,0.03439954227909235,0.0254,0.03438654862603958,"{""Q1"": 0.29, ""Q2"": 0.36, ""Q3"": 0.86, ""Q4"": 0.48, ""Q5"": 0.94}",0.0687990845581847,False,LIN28B,K562
m5C,6916,177,6739,2.559,2.7929,2.3418,0.4511,enriched_at_high_Z,679034.5,0.0016216076240205518,0.0379,0.0016171142537653792,"{""Q1"": 2.07, ""Q2"": 2.15, ""Q3"": 1.79, ""Q4"": 3.23, ""Q5"": 3.62}",0.006486430496082207,True,LIN28B,K562
ac4C,6916,43,6873,0.622,2.7929,2.3418,0.4511,enriched_at_high_Z,161039.0,0.30923318557157375,0.0122,0.3092493461238571,"{""Q1"": 0.57, ""Q2"": 0.21, ""Q3"": 0.72, ""Q4"": 1.1, ""Q5"": 0.47}",0.4123109140954317,False,LIN28B,K562
