track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	pseudoU	6	11.6978	7.0000	16.0000	2.8444	0.5513	-0.8592	3.1400e-02	6.2800e-02	1963	103583	3.3807e+01	33	33	1.0770e-02	6	6	1.9583e-03	0.3057	0.0058	18.1818	18.1818
merged	m5C	61	75.6208	59.0000	93.0000	10.6216	0.8092	-0.3055	8.5400e-02	1.1387e-01	1963	103583	3.3807e+01	231	231	7.5393e-02	61	61	1.9909e-02	3.1075	0.0589	26.4069	26.4069
merged	ac4C	9	10.5227	6.0000	15.0000	2.5636	0.8679	-0.2045	3.4740e-01	3.4740e-01	1963	103583	3.3807e+01	30	30	9.7913e-03	9	9	2.9374e-03	0.4585	0.0087	30.0000	30.0000
merged	m6A	828	781.0269	743.0000	820.0000	23.3834	1.0601	0.0842	2.3500e-02	6.2800e-02	1963	103583	3.3807e+01	2324	2324	7.5850e-01	828	828	2.7024e-01	42.1803	0.7994	35.6282	35.6282
# job finished in 313 seconds at Sat Feb 28 21:52:06 2026 -- 312.91  0.41  0.00  0.00 -- ec4daf3b-f9f1-4db4-86c0-07026f926b76
