track	annotation	observed	expected	CI95low	CI95high	stddev	fold	l2fold	pvalue	qvalue	track_nsegments	track_size	track_density	annotation_nsegments	annotation_size	annotation_density	overlap_nsegments	overlap_size	overlap_density	percent_overlap_nsegments_track	percent_overlap_size_track	percent_overlap_nsegments_annotation	percent_overlap_size_annotation
merged	m6A	4	54.7915	42.0000	68.0000	7.9107	0.0896	-3.4800	1.0000e-04	4.0000e-04	101	5109	1.8749e+00	2905	2905	1.0661e+00	4	4	1.4679e-03	3.9604	0.0783	0.1377	0.1377
merged	m5C	1	2.6031	0.0000	7.0000	2.4620	0.5551	-0.8492	3.6180e-01	7.2360e-01	101	5109	1.8749e+00	137	137	5.0277e-02	1	1	3.6698e-04	0.9901	0.0196	0.7299	0.7299
merged	pseudoU	0	0.5558	0.0000	2.0000	0.7376	0.6428	-0.6377	5.7040e-01	7.6053e-01	101	5109	1.8749e+00	32	32	1.1743e-02	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
merged	ac4C	0	0.2882	0.0000	1.0000	0.5839	0.7763	-0.3654	7.6980e-01	7.6980e-01	101	5109	1.8749e+00	15	15	5.5047e-03	0	0	0.0000e+00	0.0000	0.0000	0.0000	0.0000
# job finished in 45 seconds at Sat Feb 28 21:47:23 2026 -- 46.15  0.58  0.00  0.00 -- 34ab2753-b2c1-41b2-bdc4-c8aa41269fb0
