modification,observed,expected,fold,pvalue,qvalue
m6A,4.0,54.7915,0.0896,0.0001,0.0004
m5C,1.0,2.6031,0.5551,0.3618,0.7236
pseudoU,0.0,0.5558,0.6428,0.5704,0.76053
ac4C,0.0,0.2882,0.7763,0.7698,0.7698
,,,,,
