modification,n_total_peaks,n_mod_positive,n_mod_negative,pct_mod_positive,median_z_mod_pos,median_z_mod_neg,median_z_diff,direction,mann_whitney_u,mann_whitney_p,spearman_rho,spearman_p,z_bin_frequencies,mann_whitney_p_adj,significant,rbp,cell_line
m6A,5706,2125,3581,37.242,2.1986,2.0562,0.1424,enriched_at_high_Z,4476019.5,6.18998582253031e-29,0.1478,3.137926038448507e-29,"{""Q1"": 22.89, ""Q2"": 38.05, ""Q3"": 41.77, ""Q4"": 39.1, ""Q5"": 45.86}",2.475994329012124e-28,True,IGF2BP1,K562
pseudoU,5706,35,5671,0.613,2.0594,2.1157,-0.0562,enriched_at_low_Z,103636.0,0.650996319991036,0.006,0.6509991540924731,"{""Q1"": 0.6, ""Q2"": 0.81, ""Q3"": 0.51, ""Q4"": 0.31, ""Q5"": 0.94}",0.650996319991036,False,IGF2BP1,K562
m5C,5706,105,5601,1.84,2.1343,2.1157,0.0186,enriched_at_high_Z,306599.0,0.45292057329239666,0.0099,0.4529508185639455,"{""Q1"": 1.7, ""Q2"": 1.8, ""Q3"": 1.87, ""Q4"": 1.47, ""Q5"": 2.51}",0.6038940977231956,False,IGF2BP1,K562
ac4C,5706,15,5691,0.263,2.3475,2.1157,0.2319,enriched_at_high_Z,49238.0,0.30334382596862064,0.0136,0.3033480651408449,"{""Q1"": 0.26, ""Q2"": 0.18, ""Q3"": 0.08, ""Q4"": 0.39, ""Q5"": 0.42}",0.6038940977231956,False,IGF2BP1,K562
